日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
20241031,7836,アビックス,スタンダード（内国株式）,3800,その他製品,10,情報通信・サービスその他,-,-
20241031,7837,アールシーコア,スタンダード（内国株式）,3800,その他製品,10,情報通信・サービスその他,-,-
20241031,7839,ＳＨＯＥＩ,プライム（内国株式）,3800,その他製品,10,情報通信・サービスその他,6,TOPIX Small 1
20241031,7840,フランスベッドホールディングス,プライム（内国株式）,3800,その他製品,10,情報通信・サービスその他,7,TOPIX Small 2
20241031,7841,遠藤製作所,スタンダード（内国株式）,3800,その他製品,10,情報通信・サービスその他,-,-
20241031,7844,マーベラス,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,7,TOPIX Small 2
20241031,7846,パイロットコーポレーション,プライム（内国株式）,3800,その他製品,10,情報通信・サービスその他,4,TOPIX Mid400
20241031,7847,グラファイトデザイン,スタンダード（内国株式）,3800,その他製品,10,情報通信・サービスその他,-,-
20241031,7849,スターツ出版,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20241031,7850,総合商研,スタンダード（内国株式）,3800,その他製品,10,情報通信・サービスその他,-,-
20241031,7851,カワセコンピュータサプライ,スタンダード（内国株式）,3800,その他製品,10,情報通信・サービスその他,-,-
20241031,7856,萩原工業,プライム（内国株式）,3800,その他製品,10,情報通信・サービスその他,7,TOPIX Small 2
20241031,7857,セキ,スタンダード（内国株式）,3800,その他製品,10,情報通信・サービスその他,-,-
20241031,7859,アルメディオ,スタンダード（内国株式）,3800,その他製品,10,情報通信・サービスその他,-,-
20241031,7860,エイベックス,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,6,TOPIX Small 1
20241031,7863,平賀,スタンダード（内国株式）,3800,その他製品,10,情報通信・サービスその他,-,-
20241031,7864,フジシールインターナショナル,プライム（内国株式）,3800,その他製品,10,情報通信・サービスその他,6,TOPIX Small 1
20241031,7865,ピープル,スタンダード（内国株式）,3800,その他製品,10,情報通信・サービスその他,-,-
20241031,7867,タカラトミー,プライム（内国株式）,3800,その他製品,10,情報通信・サービスその他,4,TOPIX Mid400
20241031,7868,広済堂ホールディングス,プライム（内国株式）,3800,その他製品,10,情報通信・サービスその他,7,TOPIX Small 2
20241031,7871,フクビ化学工業,スタンダード（内国株式）,3200,化学,4,素材・化学,-,-
20241031,7872,エステールホールディングス,スタンダード（内国株式）,3800,その他製品,10,情報通信・サービスその他,7,TOPIX Small 2
20241031,7874,レック,プライム（内国株式）,3200,化学,4,素材・化学,7,TOPIX Small 2
20241031,7875,竹田ｉＰホールディングス,スタンダード（内国株式）,3800,その他製品,10,情報通信・サービスその他,-,-
20241031,7877,永大化工,スタンダード（内国株式）,3200,化学,4,素材・化学,-,-
20241031,7878,光・彩,スタンダード（内国株式）,3800,その他製品,10,情報通信・サービスその他,-,-
20241031,7879,ノダ,スタンダード（内国株式）,3800,その他製品,10,情報通信・サービスその他,-,-
20241031,7883,サンメッセ,スタンダード（内国株式）,3800,その他製品,10,情報通信・サービスその他,-,-
20241031,7885,タカノ,スタンダード（内国株式）,3800,その他製品,10,情報通信・サービスその他,7,TOPIX Small 2
20241031,7886,ヤマト　モビリティ　＆　Ｍｆｇ．,スタンダード（内国株式）,3200,化学,4,素材・化学,-,-
20241031,7887,南海プライウッド,スタンダード（内国株式）,3800,その他製品,10,情報通信・サービスその他,-,-
20241031,7888,三光合成,プライム（内国株式）,3200,化学,4,素材・化学,7,TOPIX Small 2
20241031,7893,プロネクサス,プライム（内国株式）,3800,その他製品,10,情報通信・サービスその他,7,TOPIX Small 2
20241031,7896,セブン工業,スタンダード（内国株式）,3800,その他製品,10,情報通信・サービスその他,-,-
20241031,7897,ホクシン,スタンダード（内国株式）,3800,その他製品,10,情報通信・サービスその他,7,TOPIX Small 2
20241031,7898,ウッドワン,スタンダード（内国株式）,3800,その他製品,10,情報通信・サービスその他,7,TOPIX Small 2
20241031,7901,マツモト,スタンダード（内国株式）,3800,その他製品,10,情報通信・サービスその他,-,-
20241031,7902,ソノコム,スタンダード（内国株式）,3800,その他製品,10,情報通信・サービスその他,-,-
20241031,7906,ヨネックス,スタンダード（内国株式）,3800,その他製品,10,情報通信・サービスその他,-,-
20241031,7908,きもと,スタンダード（内国株式）,3200,化学,4,素材・化学,7,TOPIX Small 2
20241031,7911,ＴＯＰＰＡＮホールディングス,プライム（内国株式）,3800,その他製品,10,情報通信・サービスその他,4,TOPIX Mid400
20241031,7912,大日本印刷,プライム（内国株式）,3800,その他製品,10,情報通信・サービスその他,4,TOPIX Mid400
20241031,7914,共同印刷,プライム（内国株式）,3800,その他製品,10,情報通信・サービスその他,7,TOPIX Small 2
20241031,7915,ＮＩＳＳＨＡ,プライム（内国株式）,3800,その他製品,10,情報通信・サービスその他,6,TOPIX Small 1
20241031,7916,光村印刷,スタンダード（内国株式）,3800,その他製品,10,情報通信・サービスその他,7,TOPIX Small 2
20241031,7917,ＺＡＣＲＯＳ,プライム（内国株式）,3200,化学,4,素材・化学,7,TOPIX Small 2
20241031,7918,ヴィア・ホールディングス,スタンダード（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20241031,7919,野崎印刷紙業,スタンダード（内国株式）,3800,その他製品,10,情報通信・サービスその他,-,-
20241031,7921,ＴＡＫＡＲＡ　＆　ＣＯＭＰＡＮＹ,プライム（内国株式）,3800,その他製品,10,情報通信・サービスその他,7,TOPIX Small 2
20241031,7922,三光産業,スタンダード（内国株式）,3800,その他製品,10,情報通信・サービスその他,-,-
20241031,7923,トーイン,スタンダード（内国株式）,3800,その他製品,10,情報通信・サービスその他,-,-
20241031,7925,前澤化成工業,プライム（内国株式）,3200,化学,4,素材・化学,7,TOPIX Small 2
20241031,7927,ムトー精工,スタンダード（内国株式）,3200,化学,4,素材・化学,-,-
20241031,7928,旭化学工業,スタンダード（内国株式）,3200,化学,4,素材・化学,-,-
20241031,7931,未来工業,プライム（内国株式）,3200,化学,4,素材・化学,7,TOPIX Small 2
20241031,7932,ニッピ,スタンダード（内国株式）,3800,その他製品,10,情報通信・サービスその他,-,-
20241031,7936,アシックス,プライム（内国株式）,3800,その他製品,10,情報通信・サービスその他,4,TOPIX Mid400
20241031,7937,ツツミ,スタンダード（内国株式）,3800,その他製品,10,情報通信・サービスその他,7,TOPIX Small 2
20241031,7938,リーガルコーポレーション,スタンダード（内国株式）,3800,その他製品,10,情報通信・サービスその他,-,-
20241031,7939,研創,スタンダード（内国株式）,3800,その他製品,10,情報通信・サービスその他,-,-
20241031,7940,ウェーブロックホールディングス,スタンダード（内国株式）,3200,化学,4,素材・化学,7,TOPIX Small 2
20241031,7942,ＪＳＰ,プライム（内国株式）,3200,化学,4,素材・化学,7,TOPIX Small 2
20241031,7943,ニチハ,プライム（内国株式）,3400,ガラス・土石製品,3,建設・資材,6,TOPIX Small 1
20241031,7944,ローランド,プライム（内国株式）,3800,その他製品,10,情報通信・サービスその他,6,TOPIX Small 1
20241031,7946,光陽社,スタンダード（内国株式）,3800,その他製品,10,情報通信・サービスその他,-,-
20241031,7947,エフピコ,プライム（内国株式）,3200,化学,4,素材・化学,6,TOPIX Small 1
20241031,7949,小松ウオール工業,プライム（内国株式）,3800,その他製品,10,情報通信・サービスその他,7,TOPIX Small 2
20241031,7951,ヤマハ,プライム（内国株式）,3800,その他製品,10,情報通信・サービスその他,4,TOPIX Mid400
20241031,7952,河合楽器製作所,プライム（内国株式）,3800,その他製品,10,情報通信・サービスその他,7,TOPIX Small 2
20241031,7953,菊水化学工業,スタンダード（内国株式）,3800,その他製品,10,情報通信・サービスその他,-,-
20241031,7955,クリナップ,プライム（内国株式）,3800,その他製品,10,情報通信・サービスその他,7,TOPIX Small 2
20241031,7956,ピジョン,プライム（内国株式）,3800,その他製品,10,情報通信・サービスその他,4,TOPIX Mid400
20241031,7957,フジコピアン,スタンダード（内国株式）,3800,その他製品,10,情報通信・サービスその他,-,-
20241031,7958,天馬,プライム（内国株式）,3200,化学,4,素材・化学,7,TOPIX Small 2
20241031,7962,キングジム,プライム（内国株式）,3800,その他製品,10,情報通信・サービスその他,7,TOPIX Small 2
20241031,7963,興研,スタンダード（内国株式）,3800,その他製品,10,情報通信・サービスその他,-,-
20241031,7965,象印マホービン,プライム（内国株式）,3650,電気機器,9,電機・精密,6,TOPIX Small 1
20241031,7966,リンテック,プライム（内国株式）,3800,その他製品,10,情報通信・サービスその他,6,TOPIX Small 1
20241031,7970,信越ポリマー,プライム（内国株式）,3200,化学,4,素材・化学,6,TOPIX Small 1
20241031,7971,東リ,スタンダード（内国株式）,3200,化学,4,素材・化学,7,TOPIX Small 2
20241031,7972,イトーキ,プライム（内国株式）,3800,その他製品,10,情報通信・サービスその他,6,TOPIX Small 1
20241031,7974,任天堂,プライム（内国株式）,3800,その他製品,10,情報通信・サービスその他,1,TOPIX Core30
20241031,7975,リヒトラブ,スタンダード（内国株式）,3800,その他製品,10,情報通信・サービスその他,-,-
20241031,7976,三菱鉛筆,プライム（内国株式）,3800,その他製品,10,情報通信・サービスその他,6,TOPIX Small 1
20241031,7979,松風,プライム（内国株式）,3750,精密機器,9,電機・精密,7,TOPIX Small 2
20241031,7980,重松製作所,スタンダード（内国株式）,3800,その他製品,10,情報通信・サービスその他,-,-
20241031,7981,タカラスタンダード,プライム（内国株式）,3800,その他製品,10,情報通信・サービスその他,6,TOPIX Small 1
20241031,7983,ミロク,スタンダード（内国株式）,3800,その他製品,10,情報通信・サービスその他,-,-
20241031,7984,コクヨ,プライム（内国株式）,3800,その他製品,10,情報通信・サービスその他,4,TOPIX Mid400
20241031,7985,ネポン,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20241031,7986,日本アイ・エス・ケイ,スタンダード（内国株式）,3800,その他製品,10,情報通信・サービスその他,-,-
20241031,7987,ナカバヤシ,スタンダード（内国株式）,3800,その他製品,10,情報通信・サービスその他,7,TOPIX Small 2
20241031,7988,ニフコ,プライム（内国株式）,3200,化学,4,素材・化学,4,TOPIX Mid400
20241031,7989,立川ブラインド工業,プライム（内国株式）,3550,金属製品,3,建設・資材,7,TOPIX Small 2
20241031,7990,グローブライド,プライム（内国株式）,3800,その他製品,10,情報通信・サービスその他,6,TOPIX Small 1
20241031,7991,マミヤ・オーピー,スタンダード（内国株式）,3600,機械,8,機械,-,-
20241031,7992,セーラー万年筆,スタンダード（内国株式）,3800,その他製品,10,情報通信・サービスその他,-,-
20241031,7994,オカムラ,プライム（内国株式）,3800,その他製品,10,情報通信・サービスその他,6,TOPIX Small 1
20241031,7995,バルカー,プライム（内国株式）,3200,化学,4,素材・化学,6,TOPIX Small 1
20241031,7997,くろがね工作所,スタンダード（内国株式）,3800,その他製品,10,情報通信・サービスその他,-,-
20241031,7999,ＭＵＴＯＨホールディングス,スタンダード（内国株式）,3650,電気機器,9,電機・精密,7,TOPIX Small 2
20241031,8001,伊藤忠商事,プライム（内国株式）,6050,卸売業,13,商社・卸売,1,TOPIX Core30
20241031,8002,丸紅,プライム（内国株式）,6050,卸売業,13,商社・卸売,2,TOPIX Large70
20241031,8005,スクロール,プライム（内国株式）,6100,小売業,14,小売,6,TOPIX Small 1
20241031,8006,ユアサ・フナショク,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
20241031,8007,高島,プライム（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
20241031,8008,ヨンドシーホールディングス,プライム（内国株式）,6100,小売業,14,小売,6,TOPIX Small 1
20241031,8011,三陽商会,プライム（内国株式）,3100,繊維製品,4,素材・化学,7,TOPIX Small 2
20241031,8012,長瀬産業,プライム（内国株式）,6050,卸売業,13,商社・卸売,4,TOPIX Mid400
20241031,8013,ナイガイ,スタンダード（内国株式）,3100,繊維製品,4,素材・化学,7,TOPIX Small 2
20241031,8014,蝶理,プライム（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
20241031,8015,豊田通商,プライム（内国株式）,6050,卸売業,13,商社・卸売,4,TOPIX Mid400
20241031,8016,オンワードホールディングス,プライム（内国株式）,3100,繊維製品,4,素材・化学,6,TOPIX Small 1
20241031,8018,三共生興,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
20241031,8020,兼松,プライム（内国株式）,6050,卸売業,13,商社・卸売,4,TOPIX Mid400
20241031,8022,美津濃,プライム（内国株式）,3800,その他製品,10,情報通信・サービスその他,6,TOPIX Small 1
20241031,8023,大興電子通信,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20241031,8025,ツカモトコーポレーション,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
20241031,8029,ルックホールディングス,スタンダード（内国株式）,3100,繊維製品,4,素材・化学,7,TOPIX Small 2
20241031,8030,中央魚類,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
20241031,8031,三井物産,プライム（内国株式）,6050,卸売業,13,商社・卸売,1,TOPIX Core30
20241031,8032,日本紙パルプ商事,プライム（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
20241031,8035,東京エレクトロン,プライム（内国株式）,3650,電気機器,9,電機・精密,1,TOPIX Core30
20241031,8037,カメイ,プライム（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
20241031,8038,東都水産,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
20241031,8039,築地魚市場,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
20241031,8040,東京ソワール,スタンダード（内国株式）,3100,繊維製品,4,素材・化学,-,-
20241031,8041,ＯＵＧホールディングス,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
20241031,8043,スターゼン,プライム（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
20241031,8045,横浜丸魚,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
20241031,8046,丸藤シートパイル,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
20241031,8050,セイコーグループ,プライム（内国株式）,3750,精密機器,9,電機・精密,6,TOPIX Small 1
20241031,8051,山善,プライム（内国株式）,6050,卸売業,13,商社・卸売,6,TOPIX Small 1
20241031,8052,椿本興業,プライム（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
20241031,8053,住友商事,プライム（内国株式）,6050,卸売業,13,商社・卸売,2,TOPIX Large70
20241031,8056,ＢＩＰＲＯＧＹ,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,4,TOPIX Mid400
20241031,8057,内田洋行,プライム（内国株式）,6050,卸売業,13,商社・卸売,6,TOPIX Small 1
20241031,8058,三菱商事,プライム（内国株式）,6050,卸売業,13,商社・卸売,1,TOPIX Core30
20241031,8059,第一実業,プライム（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
20241031,8060,キヤノンマーケティングジャパン,プライム（内国株式）,6050,卸売業,13,商社・卸売,4,TOPIX Mid400
20241031,8061,西華産業,プライム（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
20241031,8065,佐藤商事,プライム（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
20241031,8066,三谷商事,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
20241031,8070,東京産業,プライム（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
20241031,8072,日本出版貿易,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
20241031,8074,ユアサ商事,プライム（内国株式）,6050,卸売業,13,商社・卸売,6,TOPIX Small 1
20241031,8075,神鋼商事,プライム（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
20241031,8076,カノークス,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
20241031,8077,トルク,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
20241031,8078,阪和興業,プライム（内国株式）,6050,卸売業,13,商社・卸売,6,TOPIX Small 1
20241031,8079,正栄食品工業,プライム（内国株式）,6050,卸売業,13,商社・卸売,6,TOPIX Small 1
20241031,8081,カナデン,プライム（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
20241031,8084,ＲＹＯＤＥＮ,プライム（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
20241031,8085,ナラサキ産業,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
20241031,8086,ニプロ,プライム（内国株式）,3750,精密機器,9,電機・精密,4,TOPIX Mid400
20241031,8088,岩谷産業,プライム（内国株式）,6050,卸売業,13,商社・卸売,4,TOPIX Mid400
20241031,8089,ナイス,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
20241031,8091,ニチモウ,プライム（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
20241031,8093,極東貿易,プライム（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
20241031,8095,アステナホールディングス,プライム（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
20241031,8097,三愛オブリ,プライム（内国株式）,6050,卸売業,13,商社・卸売,6,TOPIX Small 1
20241031,8098,稲畑産業,プライム（内国株式）,6050,卸売業,13,商社・卸売,6,TOPIX Small 1
20241031,8101,ＧＳＩクレオス,プライム（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
20241031,8103,明和産業,プライム（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
20241031,8104,クワザワホールディングス,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
20241031,8105,堀田丸正,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
20241031,8107,キムラタン,スタンダード（内国株式）,3100,繊維製品,4,素材・化学,7,TOPIX Small 2
20241031,8111,ゴールドウイン,プライム（内国株式）,3100,繊維製品,4,素材・化学,4,TOPIX Mid400
20241031,8113,ユニ・チャーム,プライム（内国株式）,3200,化学,4,素材・化学,2,TOPIX Large70
20241031,8114,デサント,プライム（内国株式）,3100,繊維製品,4,素材・化学,6,TOPIX Small 1
20241031,8115,ムーンバット,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
20241031,8117,中央自動車工業,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
20241031,8118,キング,スタンダード（内国株式）,3100,繊維製品,4,素材・化学,7,TOPIX Small 2
20241031,8119,三栄コーポレーション,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
20241031,8123,川辺,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
20241031,8125,ワキタ,プライム（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
20241031,8127,ヤマトインターナショナル,スタンダード（内国株式）,3100,繊維製品,4,素材・化学,7,TOPIX Small 2
20241031,8129,東邦ホールディングス,プライム（内国株式）,6050,卸売業,13,商社・卸売,4,TOPIX Mid400
20241031,8130,サンゲツ,プライム（内国株式）,6050,卸売業,13,商社・卸売,6,TOPIX Small 1
20241031,8131,ミツウロコグループホールディングス,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
20241031,8132,シナネンホールディングス,プライム（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
20241031,8133,伊藤忠エネクス,プライム（内国株式）,6050,卸売業,13,商社・卸売,6,TOPIX Small 1
20241031,8135,ゼット,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
20241031,8136,サンリオ,プライム（内国株式）,6050,卸売業,13,商社・卸売,4,TOPIX Mid400
20241031,8137,サンワテクノス,プライム（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
20241031,8138,三京化成,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
20241031,8139,ナガホリ,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
20241031,8141,新光商事,プライム（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
20241031,8142,トーホー,プライム（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
20241031,8143,ラピーヌ,スタンダード（内国株式）,3100,繊維製品,4,素材・化学,-,-
20241031,8144,デンキョーグループホールディングス,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
20241031,8147,トミタ,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
20241031,8150,三信電気,プライム（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
20241031,8151,東陽テクニカ,プライム（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
20241031,8152,ソマール,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
20241031,8153,モスフードサービス,プライム（内国株式）,6050,卸売業,13,商社・卸売,6,TOPIX Small 1
20241031,8154,加賀電子,プライム（内国株式）,6050,卸売業,13,商社・卸売,6,TOPIX Small 1
20241031,8155,三益半導体工業,プライム（内国株式）,3550,金属製品,3,建設・資材,-,-
20241031,8157,都築電気,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,7,TOPIX Small 2
20241031,8158,ソーダニッカ,プライム（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
20241031,8159,立花エレテック,プライム（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
20241031,8160,木曽路,プライム（内国株式）,6100,小売業,14,小売,6,TOPIX Small 1
20241031,8163,ＳＲＳホールディングス,プライム（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
